CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,62.47,4050,72.17
買賣,房地(土地+建物),大安區浦城街6巷21號,121.525679,25.024158,,華廈(10層含以下有電梯),,13.73,1413,102.91
買賣,房地(土地+建物),大安區樂利路51號,121.551845,25.026547,,華廈(10層含以下有電梯),,36.89,2800,75.9
買賣,房地(土地+建物)+車位,大同區民權西路236號,121.512935,25.062784,,大樓(11層含以上有電梯),,66.49,4652,78.99
買賣,房地(土地+建物)+車位,大安區羅斯福路三段283巷14弄11號,121.532422,25.01847,,華廈(10層含以下有電梯),,52.8,4050,76.7
買賣,房地(土地+建物),南港區福德街310巷6號,121.58757,25.039611,,公寓(5樓含以下無電梯),,20.89,1358,65.01
買賣,房地(土地+建物),松山區復興北路1號,121.544158,25.047968,,大樓(11層含以上有電梯),,91.64,4500,49.11
買賣,房地(土地+建物),萬華區西園路二段52巷14弄1號,121.496345,25.031464,,公寓(5樓含以下無電梯),,17.11,782,45.7
買賣,房地(土地+建物),士林區天母北路4巷1號,121.525863,25.118988,,公寓(5樓含以下無電梯),,33.22,1900,57.19
買賣,房地(土地+建物),中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,28.45,3166,111.28
買賣,房地(土地+建物),南港區南港路三段314巷6號,121.581427,25.051912,,公寓(5樓含以下無電梯),,29.03,1400,48.23
買賣,房地(土地+建物),中正區濟南路二段31號,121.528853,25.041008,,大樓(11層含以上有電梯),,36.67,2688,73.3
買賣,房地(土地+建物),士林區福華路147巷26號,121.521174,25.103175,,公寓(5樓含以下無電梯),,23.43,1400,59.75
買賣,房地(土地+建物),大同區南京西路56號,121.519291,25.052738,,大樓(11層含以上有電梯),,18.65,1370,73.46
買賣,房地(土地+建物),文山區辛亥路四段209巷21號,121.558531,25.006268,,大樓(11層含以上有電梯),,26.95,1773,65.79
買賣,房地(土地+建物),信義區忠孝東路五段372巷29弄31號,121.574704,25.039173,,華廈(10層含以下有電梯),,27.65,2450,88.61
買賣,房地(土地+建物)+車位,北投區裕民六路121號,121.517501,25.115099,,大樓(11層含以上有電梯),,78.81,5410,68.65
買賣,房地(土地+建物)+車位,文山區辛亥路七段84巷1號,121.55416,24.981565,,華廈(10層含以下有電梯),,33.45,1620,48.43
買賣,房地(土地+建物),萬華區國興路11號,121.505816,25.026643,,大樓(11層含以上有電梯),,45.56,2388,52.41
買賣,房地(土地+建物)+車位,大安區市民大道三段181號,121.542535,25.044917,,大樓(11層含以上有電梯),,97.31,9019,92.68
買賣,房地(土地+建物)+車位,大同區重慶北路二段121號,121.513868,25.057713,,大樓(11層含以上有電梯),,37.99,2857,82
買賣,房地(土地+建物),士林區美崙街86巷1號,121.52122,25.096945,,透天厝,,45.59,6680,146.52
買賣,房地(土地+建物),北投區石牌路二段348巷21號,121.524957,25.122309,,華廈(10層含以下有電梯),,11.1,480,43.24
買賣,房地(土地+建物),大安區信義路四段265巷16號,121.554232,25.03393,,大樓(11層含以上有電梯),,15.68,1690,107.78
買賣,房地(土地+建物),士林區德行東路81巷11號,121.527396,25.107996,,公寓(5樓含以下無電梯),,34.8,1916,55.06
買賣,房地(土地+建物),北投區公館路63巷9弄11號,121.538131,25.005064,,透天厝,,34.56,2100,60.76
買賣,房地(土地+建物),大安區大安路一段246號,121.545878,25.033657,,華廈(10層含以下有電梯),,38.2,3585,93.85
買賣,房地(土地+建物),大安區忠孝東路三段276巷6號,121.542373,25.041013,,公寓(5樓含以下無電梯),,37.29,2850,76.43
買賣,房地(土地+建物),士林區中山北路七段56號,121.531655,25.120633,,華廈(10層含以下有電梯),,37.96,2180,57.43
買賣,房地(土地+建物),文山區萬美街二段2巷1號,121.562593,25.003391,,大樓(11層含以上有電梯),,24.85,1168,47
買賣,房地(土地+建物)+車位,大同區敦煌路88巷6號,121.517035,25.075565,,大樓(11層含以上有電梯),,49.06,2800,71.33
買賣,房地(土地+建物)+車位,北投區光明路201號,121.503452,25.136187,,大樓(11層含以上有電梯),,34.36,1660,68.15
買賣,房地(土地+建物),北投區新興路64巷6號,121.4882,25.141439,,公寓(5樓含以下無電梯),,30.53,930,30.46
租賃,建物,中山區中山北路一段135巷21號,121.523827,25.051466,3,透天厝,,81.45,7,834.87
買賣,房地(土地+建物)+車位,內湖區金莊路96號,121.587442,25.063862,11,大樓(11層含以上有電梯),1010104,56.17,2780,49.49
買賣,房地(土地+建物)+車位,內湖區行善路286號,121.584436,25.062698,14,大樓(11層含以上有電梯),1021227,90.75,5850,68.12
買賣,房地(土地+建物),中山區敬業二路69巷56號,121.55287,25.08222,10,華廈(10層含以下有電梯),961218,8,688,86
租賃,建物,中山區民權東路一段46號,121.524045,25.062522,12,住宅大樓(11層含以上有電梯),961002,14.67,2,1567.83
租賃,建物,中山區新生北路一段62巷16號,121.530642,25.046348,3,店面(店鋪),581120,21.96,5,2276.87
租賃,建物,大安區復興南路二段90巷11號,121.543093,25.030321,12,套房(1房(1廳)1衛),970125,14.08,3,2130.68
買賣,房地(土地+建物),中山區松江路96號,121.532773,25.050015,6,華廈(10層含以下有電梯),620612,19.05,1392,73.07
租賃,建物,內湖區康寧路一段164巷2弄1號,121.594236,25.078738,2,透天厝,,34.14,2,585.82
租賃,建物,內湖區內湖路一段621號,121.574212,25.080584,5,店面(店鋪),701015,58.89,7,1120.73
租賃,建物,信義區松勤街6號,121.559776,25.032045,19,住宅大樓(11層含以上有電梯),961225,14.52,4,2410.47
租賃,建物,士林區社子街126巷6號,121.50478,25.088013,3,公寓(5樓含以下無電梯),610209,19.57,2,919.78
租賃,房地(土地+建物),大安區通化街143巷26號,121.554694,25.028654,7,華廈(10層含以下有電梯),711029,80.62,8,992.31
租賃,建物,士林區承德路四段1巷11號,121.521805,25.078438,4,公寓(5樓含以下無電梯),580802,21.19,2,873.05
租賃,建物,北投區崇仰九路16號,121.514086,25.130189,2,透天厝,560308,75,16,2066.67
租賃,建物,信義區信義路六段76巷2弄36號,121.575916,25.033702,5,公寓(5樓含以下無電梯),760821,34.72,4,1065.67
租賃,建物,士林區忠義街76號,121.531717,25.106141,5,店面(店鋪),750218,28.54,5,1751.93
租賃,建物,士林區德行東路296號,121.536345,25.110023,5,店面(店鋪),690626,37.97,4,1145.64
租賃,建物,中山區中山北路二段115巷26號,121.524617,25.060762,7,華廈(10層含以下有電梯),991110,20.13,4,1738.7
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,38.5,2786,80.98
租賃,建物,中山區建國北路二段6號,121.536439,25.052754,14,住宅大樓(11層含以上有電梯),950713,18.56,4,1965.19
