CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
買賣,信義區,房地(土地+建物),忠孝東路五段423巷5弄11號,121.574862 ,25.041716 ,1100326,土地:1建物:1車位:,一層,,公寓(5樓含以下無電梯),見其他登記事項,,,36.99,3,1,2,有,無,,3000,81.1,否,,0,0,無,,,,
買賣,文山區,房地(土地+建物)+車位,興隆路三段192巷2弄26號,121.558508 ,24.997910 ,1070407,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),見其他登記事項,,,26.47,1,1,1,有,有,,1135,68.66,否,坡道平面1,13.29,230,有,,,,預售屋、或土地及建物分次登記案件。交易日期108年11月8日，總價1288萬元。
買賣,南港區,房地(土地+建物),研究院路二段182巷107弄31號,121.612354 ,25.036501 ,1100311,土地:7建物:1車位:,"一層,二層",,透天厝,住家用,,,30.53,4,2,3,有,無,,1900,62.23,-,,0,0,無,,,,建築物含有：陽台外推、頂樓加蓋、其他增建。
買賣,大安區,房地(土地+建物),仁愛路四段311號,121.552283 ,25.038170 ,1100414,土地:2建物:1車位:,二層,,大樓(11層含以上有電梯),商業用,,,25.49,,,,無,有,,2500,98.08,否,,0,0,有,,,,
買賣,北投區,房地(土地+建物),中央南路二段11號,121.500551 ,25.125983 ,1100503,土地:1建物:1車位:,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,15.89,1,1,1,有,有,,790,49.72,否,,0,0,有,,,,建築物含有：夾層。
買賣,大同區,房地(土地+建物),承德路二段191號,121.518422 ,25.059258 ,1100410,土地:2建物:1車位:,十層,,大樓(11層含以上有電梯),商業用,,,10.79,1,1,0,有,有,,800,74.14,否,,0,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,信義區,房地(土地+建物)+車位,吳興街284巷59弄6號,121.563427 ,25.021979 ,1100224,土地:1建物:1車位:1,"十二層,十三層",,大樓(11層含以上有電梯),住家用,,,92.47,5,2,4,有,有,,6108,70.61,否,坡道平面1,8.8,200,有,,,,建築物含有：陽台外推、其他增建。
買賣,文山區,房地(土地+建物)+車位,政大二街221號,121.586637 ,24.988786 ,1100315,土地:1建物:1車位:1,四層,,華廈(10層含以下有電梯),住家用,,,75.94,4,2,2,有,有,,3070,42.9,否,坡道平面1,10.21,250,有,,,,建築物含有：其他增建、夾層。
買賣,中正區,房地(土地+建物),信義路二段17巷2弄6號,121.525298 ,25.035701 ,1100401,土地:4建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,12.92,1,2,1,有,無,,1170,90.56,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。
買賣,大安區,房地(土地+建物),光復南路308巷41號,121.555931 ,25.038834 ,1100416,土地:9建物:1車位:,六層,,華廈(10層含以下有電梯),住家用,,,33.21,2,2,2,有,有,,3150,94.85,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,大同區,房地(土地+建物)+車位,延平北路一段106號,121.511714 ,25.052693 ,1080731,土地:1建物:1車位:1,十二層,,大樓(11層含以上有電梯),住家用,,,59.64,3,2,2,有,有,,4000,75.57,否,坡道平面1,9.75,230,有,,,,預售屋、或土地及建物分次登記案件。
買賣,中正區,房地(土地+建物),寧波東街9巷6號,121.519694 ,25.032622 ,1100417,土地:1建物:1車位:,四層,,華廈(10層含以下有電梯),住家用,,,7.82,0,1,1,有,無,,900,115.09,否,,0,0,有,,,,建築物含有：陽臺外推。
買賣,南港區,房地(土地+建物),經貿二路241號,121.614489 ,25.061140 ,1100409,土地:1建物:1車位:,八層,,大樓(11層含以上有電梯),住家用,,,28.91,2,1,1,有,有,,2050,70.91,否,,0,0,有,,,,交易總價包含下列非屬不動產價格之費用：土地增值稅或其他稅費、仲介費。
買賣,大安區,房地(土地+建物),敦化南路一段187巷36號,121.551147 ,25.042459 ,1100414,土地:1建物:1車位:,四層,,華廈(10層含以下有電梯),住家用,,,12.56,1,0,1,有,有,,1170,93.15,否,,0,0,有,,,,
買賣,士林區,房地(土地+建物)+車位,延平北路五段46號,121.511034 ,25.080124 ,1100330,土地:2建物:1車位:1,七層,,大樓(11層含以上有電梯),住家用,,,37.25,2,2,1,有,有,,2068,55.52,是,塔式車位1,0,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,中正區,房地(土地+建物)+車位,羅斯福路三段211號,121.529811 ,25.019715 ,1080727,土地:1建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,屋頂突出物,騎樓,地下一層,地下二層,地下三層,地下四層",,大樓(11層含以上有電梯),見其他登記事項,,,39.03,2,2,2,有,有,,3300,110.12,否,升降機械1,11.06,220,有,,,,預售屋、或土地及建物分次登記案件。
買賣,大同區,房地(土地+建物),西寧北路61號,121.508944 ,25.054573 ,1100401,土地:1建物:1車位:,六層,,華廈(10層含以下有電梯),商業用,,,104.6,,,,無,有,,5021,48,否,,0,0,有,,,,
買賣,中正區,房地(土地+建物),羅斯福路三段211號,121.529811 ,25.019715 ,1080725,土地:1建物:1車位:,七層,,大樓(11層含以上有電梯),見其他登記事項,,,25.57,2,2,2,有,有,,2800,109.5,否,,0,0,有,,,,預售屋、或土地及建物分次登記案件。
買賣,大安區,房地(土地+建物),新生南路一段97巷41號,121.536683 ,25.041349 ,1100330,土地:1建物:1車位:,"四層,陽臺",,華廈(10層含以下有電梯),,,,62.21,4,2,2,有,無,,4768,76.64,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,大同區,房地(土地+建物)+車位,延平北路一段106號,121.511714 ,25.052693 ,1071027,土地:1建物:1車位:1,四層,,大樓(11層含以上有電梯),住家用,,,62.47,3,2,2,有,有,,4050,72.17,否,坡道平面1,9.75,245,有,,,,預售屋、或土地及建物分次登記案件。
買賣,大安區,車位,臥龍街316號,121.559948 ,25.016603 ,1100422,土地:2建物:1車位:1,"地下二層,地下三層,地下四層,地下五層",,,見其他登記事項,,,14.16,,,,有,有,,260,0,-,坡道平面1,14.16,260,有,,,,僅車位交易。
買賣,大安區,房地(土地+建物),浦城街6巷21號,121.525679 ,25.024158 ,1100401,土地:1建物:1車位:,三層,,華廈(10層含以下有電梯),住家用,,,13.73,1,1,1,有,有,,1413,102.91,否,,0,0,有,,,,建築物含有：夾層、其他增建。
買賣,大安區,房地(土地+建物),樂利路51號,121.551845 ,25.026547 ,1100405,土地:1建物:1車位:,三層,,華廈(10層含以下有電梯),住家用,,,36.89,4,2,2,有,無,,2800,75.9,否,,0,0,有,,,,
買賣,北投區,房地(土地+建物),清江路91巷1號,121.501991 ,25.129916 ,1100315,土地:2建物:1車位:,"一層,二層",,透天厝,住家用,,,48.76,3,2,2,有,無,,3050,62.55,-,,0,0,無,,,,
買賣,大同區,房地(土地+建物)+車位,民權西路236號,121.512935 ,25.062784 ,1100318,土地:3建物:1車位:2,十九層,,大樓(11層含以上有電梯),住家用,,,66.49,4,2,2,有,有,,4652,78.99,否,坡道機械2,11.9,340,有,,,,
買賣,大安區,房地(土地+建物)+車位,羅斯福路三段283巷14弄11號,121.532422 ,25.018470 ,1100420,土地:2建物:1車位:1,三層,,華廈(10層含以下有電梯),住家用,,,52.8,4,2,2,有,有,,4050,76.7,是,坡道平面1,9.6,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,南港區,房地(土地+建物),福德街310巷6號,121.587570 ,25.039611 ,1100405,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,20.89,3,3,2,有,無,,1358,65.01,否,,0,0,無,,,,
買賣,松山區,房地(土地+建物),復興北路1號,121.544158 ,25.047968 ,1100318,土地:1建物:1車位:,七層,,大樓(11層含以上有電梯),商業用,,,91.64,3,2,0,有,有,,4500,49.11,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,萬華區,房地(土地+建物),西園路二段52巷14弄1號,121.496345 ,25.031464 ,1100116,土地:1建物:1車位:,一層,,公寓(5樓含以下無電梯),住家用,,,17.11,2,2,1,有,無,,782,45.7,否,,0,0,無,,,,
買賣,士林區,車位,士東路306號,121.538186 ,25.113181 ,1100128,土地:1建物:1車位:1,地下一層,,,停車空間,,,15.14,,,,有,有,,280,0,-,坡道平面1,15.14,280,有,,,,僅車位交易。
買賣,士林區,房地(土地+建物),天母北路4巷1號,121.525863 ,25.118988 ,1100409,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,33.22,3,2,2,有,無,,1900,57.19,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。陽台加窗
買賣,中正區,車位,北平東路16號,121.524627 ,25.046006 ,1100226,土地:0建物:1車位:1,地下二層,,,見其他登記事項,,,13.2,,,,有,有,,150,0,-,升降平面1,0,150,有,,,,僅車位交易。
買賣,中正區,房地(土地+建物),羅斯福路三段211號,121.529811 ,25.019715 ,1100309,土地:1建物:1車位:,九層,,大樓(11層含以上有電梯),見其他登記事項,,,28.45,2,2,2,有,有,,3166,111.28,否,,0,0,有,,,,預售屋、或土地及建物分次登記案件。
買賣,中正區,車位,衡陽路51號,121.512184 ,25.042380 ,1100317,土地:1建物:1車位:5,"一層,陽臺,地下一層,地下二層,地下三層,地下四層,地下五層,地下六層",,,停車空間,,,61.9,,,,有,有,,880,0,-,坡道平面5,61.89,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。僅車位交易。
買賣,南港區,房地(土地+建物),南港路三段314巷6號,121.581427 ,25.051912 ,1100330,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,29.03,3,2,1,有,無,,1400,48.23,否,,0,0,無,,,,
