CASE_T,DISTRICT,CASE_F,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,RMNOTE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA
買賣,南港區,房地(土地+建物)+車位,昆陽街176-180號(雙號),6.41,,1100226,土地:1建物:1車位:1,九層,,大樓(11層含以上有電梯),見其他登記事項,,,42.07,3,1,1,有,有,,2680,75.96,否,坡道平面1,10.08,250,,有,,,
買賣,中正區,車位,臨沂段一小段626-630地號,0.01,,1100108,土地:1建物:0車位:1,,,,,,,0,,,,有,有,,160,0,-,升降機械1,4.77,160,僅車位交易。,有,,,
買賣,大安區,房地(土地+建物),潮州街60巷10弄6-10號(雙號),8.52,,1100303,土地:3建物:1車位:,五層,,公寓(5樓含以下無電梯),,,,28.92,3,2,2,有,無,,2488,86.03,否,,0,0,建築物含有：陽台外推、其他增建。,無,,,
買賣,北投區,房地(土地+建物),光明路66-70號(雙號),0.98,,1100226,土地:1建物:1車位:,十四層,,大樓(11層含以上有電梯),住家用,,,10.94,1,1,1,有,有,,785,71.76,否,,0,0,建築物含有：其他增建。,有,,,
買賣,大同區,房地(土地+建物),重慶北路三段313巷1-5號(雙號),7.64,,1100221,土地:2建物:1車位:,一層,,公寓(5樓含以下無電梯),住家用,,,23.74,1,1,1,有,無,,1280,53.92,否,,0,0,建築物含有：其他增建。,無,,,
買賣,信義區,房地(土地+建物),忠孝東路五段790巷61弄1-5號(雙號),8.84,,1091224,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,29.09,6,3,3,有,無,,1565,53.8,否,,0,0,,無,,,
買賣,文山區,房地(土地+建物)+車位,和興路44巷16-20號(雙號),16.89,,1100303,土地:1建物:1車位:1,七層,,華廈(10層含以下有電梯),住家用,,,57.24,3,2,3,有,有,,2600,45.42,是,坡道機械1,3.02,0,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,有,,,
買賣,北投區,房地(土地+建物),溫泉路58巷1-5號(單號),8.88,,1100301,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,36.84,3,2,2,有,無,,1400,38,否,,0,0,建築物含有：陽台外推、其他增建。,無,,,
買賣,萬華區,車位,內江街126-130號(雙號),0.01,,1100125,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層,地下四層,地下五層",,,見其他登記事項,,,3.19,,,,有,有,,90,0,-,塔式車位1,3.19,90,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。僅車位交易。,有,,,
買賣,文山區,房地(土地+建物)+車位,興隆路二段203巷96-100號(雙號),11.45,,1100306,土地:1建物:1車位:1,十層,,大樓(11層含以上有電梯),住家用,,,47.69,4,2,2,有,有,,2100,50.94,否,坡道平面1,10.39,200,建築物含有：其他增建。,有,,,
買賣,北投區,房地(土地+建物)+車位,三合街一段117巷38弄6-10號(雙號),17.54,,1100108,土地:1建物:1車位:2,八層,,華廈(10層含以下有電梯),住家用,,,114.76,3,2,2,有,有,,6975,70.49,否,坡道平面2,22.98,505,預售屋、或土地及建物分次登記案件。,有,,,
預售屋,北投區,房地(土地+建物)+車位,文林段四小段176-180地號,10.79,,1091118,土地:13建物:1車位:1,一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.15,4,2,3,有,,,5160,80.93,否,坡道平面1,11.22,310,,,35.06,4.84,31.25
買賣,萬華區,房地(土地+建物),萬大路493巷48弄21-25號(單號),9.9,,1100225,土地:2建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,32.07,3,2,2,有,無,,1500,46.77,否,,0,0,建築物含有：陽台外推。,無,,,
買賣,士林區,房地(土地+建物),承德路四段40巷1-5號(雙號),3.88,,1100224,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,10.77,2,1,1,有,無,,461,42.8,否,,0,0,建築物含有：陽台外推、其他增建。,無,,,
買賣,士林區,房地(土地+建物)+車位,延平北路五段71-75號(單號),3.38,,1100129,土地:2建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,騎樓,地下一層,地下二層,地下三層,見其他登記事項",,大樓(11層含以上有電梯),住家用,,,37.39,1,1,1,有,有,,1650,60.34,否,升降平面1,13.36,200,,有,,,
預售屋,北投區,房地(土地+建物)+車位,文林段四小段176-180地號,10.53,,1091105,土地:13建物:1車位:1,七層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.42,4,2,3,有,,,4815,78.26,否,坡道平面1,11.22,260,,,34.63,4.12,30.67
